"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All lone parent housholds with dependent children; measures: Value","Family Type: Lone parent in part-time employment: Total; measures: Value","Family Type: Lone parent in full-time employment: Total; measures: Value","Family Type: Lone parent not in employment: Total; measures: Value","Family Type: Male lone parent: Total; measures: Value","Family Type: Male lone parent: In part-time employment; measures: Value","Family Type: Male lone parent: In full-time employment; measures: Value","Family Type: Male lone parent: Not in employment; measures: Value","Family Type: Female lone parent: Total; measures: Value","Family Type: Female lone parent: In part-time employment; measures: Value","Family Type: Female lone parent: In full-time employment; measures: Value","Family Type: Female lone parent: Not in employment; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",39,10,6,23,7,0,0,7,32,10,6,16
"E01006513",2011,"Liverpool 060A","Total",18,6,5,7,3,2,1,0,15,4,4,7
"E01006514",2011,"Liverpool 037A","Total",31,8,7,16,5,0,3,2,26,8,4,14
"E01006515",2011,"Liverpool 037B","Total",60,17,8,35,4,0,0,4,56,17,8,31
"E01006518",2011,"Liverpool 044A","Total",104,33,18,53,4,0,1,3,100,33,17,50
"E01006519",2011,"Liverpool 056A","Total",22,6,15,1,1,0,1,0,21,6,14,1
"E01006520",2011,"Liverpool 043A","Total",20,4,6,10,1,0,1,0,19,4,5,10
"E01006521",2011,"Liverpool 052A","Total",48,11,18,19,4,2,2,0,44,9,16,19
"E01006522",2011,"Liverpool 048A","Total",57,8,7,42,4,2,2,0,53,6,5,42
"E01006523",2011,"Liverpool 052B","Total",39,7,11,21,4,2,1,1,35,5,10,20
"E01006524",2011,"Liverpool 048B","Total",24,4,14,6,1,0,0,1,23,4,14,5
"E01006525",2011,"Liverpool 049A","Total",14,3,7,4,5,1,2,2,9,2,5,2
"E01006526",2011,"Liverpool 048C","Total",34,15,9,10,2,0,2,0,32,15,7,10
"E01006527",2011,"Liverpool 053A","Total",42,24,8,10,0,0,0,0,42,24,8,10
"E01006528",2011,"Liverpool 052C","Total",35,14,9,12,2,0,2,0,33,14,7,12
"E01006529",2011,"Liverpool 048D","Total",21,7,8,6,2,0,1,1,19,7,7,5
"E01006530",2011,"Liverpool 055A","Total",28,12,8,8,4,1,2,1,24,11,6,7
"E01006531",2011,"Liverpool 055B","Total",21,7,9,5,0,0,0,0,21,7,9,5
"E01006532",2011,"Liverpool 047A","Total",19,5,10,4,3,1,2,0,16,4,8,4
"E01006533",2011,"Liverpool 055C","Total",26,7,8,11,1,0,1,0,25,7,7,11
"E01006534",2011,"Liverpool 054A","Total",61,14,18,29,4,0,1,3,57,14,17,26
"E01006535",2011,"Liverpool 054B","Total",57,21,20,16,3,1,2,0,54,20,18,16
"E01006536",2011,"Liverpool 054C","Total",88,27,26,35,4,0,0,4,84,27,26,31
"E01006537",2011,"Liverpool 055D","Total",108,46,21,41,4,1,0,3,104,45,21,38
"E01006538",2011,"Liverpool 055E","Total",36,12,15,9,4,0,3,1,32,12,12,8
"E01006539",2011,"Liverpool 047B","Total",15,7,5,3,3,1,0,2,12,6,5,1
"E01006540",2011,"Liverpool 024A","Total",119,37,12,70,14,3,2,9,105,34,10,61
"E01006541",2011,"Liverpool 015A","Total",83,27,19,37,5,0,2,3,78,27,17,34
"E01006542",2011,"Liverpool 018A","Total",71,26,10,35,8,0,0,8,63,26,10,27
"E01006543",2011,"Liverpool 015B","Total",35,15,9,11,0,0,0,0,35,15,9,11
"E01006544",2011,"Liverpool 015C","Total",130,39,11,80,10,3,3,4,120,36,8,76
"E01006545",2011,"Liverpool 019A","Total",117,41,20,56,6,4,2,0,111,37,18,56
"E01006546",2011,"Liverpool 019B","Total",94,24,25,45,9,0,7,2,85,24,18,43
"E01006547",2011,"Liverpool 019C","Total",97,28,15,54,9,1,5,3,88,27,10,51
"E01006548",2011,"Liverpool 019D","Total",141,37,22,82,12,0,6,6,129,37,16,76
"E01006549",2011,"Liverpool 043B","Total",32,8,13,11,5,3,2,0,27,5,11,11
"E01006550",2011,"Liverpool 038A","Total",20,6,5,9,4,2,1,1,16,4,4,8
"E01006551",2011,"Liverpool 048E","Total",23,2,7,14,3,0,1,2,20,2,6,12
"E01006552",2011,"Liverpool 039A","Total",151,32,22,97,30,5,5,20,121,27,17,77
"E01006553",2011,"Liverpool 042A","Total",40,19,9,12,8,3,3,2,32,16,6,10
"E01006554",2011,"Liverpool 048F","Total",22,5,8,9,6,0,3,3,16,5,5,6
"E01006556",2011,"Liverpool 039B","Total",141,32,24,85,18,3,7,8,123,29,17,77
"E01006557",2011,"Liverpool 038B","Total",34,7,10,17,4,1,2,1,30,6,8,16
"E01006558",2011,"Liverpool 018B","Total",99,26,12,61,9,1,3,5,90,25,9,56
"E01006560",2011,"Liverpool 023A","Total",119,50,11,58,6,1,0,5,113,49,11,53
"E01006562",2011,"Liverpool 018E","Total",134,30,16,88,13,3,1,9,121,27,15,79
"E01006563",2011,"Liverpool 024B","Total",123,27,16,80,9,0,0,9,114,27,16,71
"E01006564",2011,"Liverpool 023B","Total",70,28,6,36,4,1,0,3,66,27,6,33
"E01006565",2011,"Liverpool 029A","Total",55,23,13,19,2,0,2,0,53,23,11,19
"E01006566",2011,"Liverpool 032A","Total",34,10,10,14,2,1,0,1,32,9,10,13
"E01006567",2011,"Liverpool 026A","Total",65,26,12,27,8,2,3,3,57,24,9,24
"E01006568",2011,"Liverpool 026B","Total",71,26,21,24,8,1,6,1,63,25,15,23
"E01006569",2011,"Liverpool 029B","Total",44,14,7,23,6,0,2,4,38,14,5,19
"E01006570",2011,"Liverpool 026C","Total",56,10,23,23,9,0,6,3,47,10,17,20
"E01006571",2011,"Liverpool 026D","Total",72,24,10,38,1,0,1,0,71,24,9,38
"E01006572",2011,"Liverpool 025A","Total",96,33,8,55,2,0,0,2,94,33,8,53
"E01006573",2011,"Liverpool 029C","Total",99,33,17,49,8,1,3,4,91,32,14,45
"E01006574",2011,"Liverpool 025B","Total",77,24,11,42,8,0,2,6,69,24,9,36
"E01006575",2011,"Liverpool 034A","Total",42,10,11,21,0,0,0,0,42,10,11,21
"E01006576",2011,"Liverpool 034B","Total",41,13,13,15,1,0,0,1,40,13,13,14
"E01006577",2011,"Liverpool 034C","Total",31,15,12,4,1,0,0,1,30,15,12,3
"E01006578",2011,"Liverpool 036A","Total",35,11,14,10,2,0,0,2,33,11,14,8
"E01006579",2011,"Liverpool 034D","Total",27,9,14,4,3,0,3,0,24,9,11,4
"E01006580",2011,"Liverpool 036B","Total",18,12,3,3,0,0,0,0,18,12,3,3
"E01006581",2011,"Liverpool 036C","Total",22,7,12,3,1,0,1,0,21,7,11,3
"E01006582",2011,"Liverpool 041A","Total",26,13,10,3,2,0,2,0,24,13,8,3
"E01006583",2011,"Liverpool 047C","Total",12,6,3,3,1,0,1,0,11,6,2,3
"E01006584",2011,"Liverpool 034E","Total",40,14,12,14,5,1,0,4,35,13,12,10
"E01006585",2011,"Liverpool 032B","Total",69,17,18,34,3,0,2,1,66,17,16,33
"E01006586",2011,"Liverpool 032C","Total",71,24,22,25,10,2,5,3,61,22,17,22
"E01006587",2011,"Liverpool 032D","Total",42,10,14,18,7,1,5,1,35,9,9,17
"E01006588",2011,"Liverpool 042C","Total",21,6,6,9,1,1,0,0,20,5,6,9
"E01006589",2011,"Liverpool 041B","Total",32,17,13,2,4,2,2,0,28,15,11,2
"E01006590",2011,"Liverpool 042D","Total",39,13,14,12,9,1,5,3,30,12,9,9
"E01006591",2011,"Liverpool 041C","Total",43,17,14,12,4,1,2,1,39,16,12,11
"E01006592",2011,"Liverpool 041D","Total",15,1,10,4,1,0,1,0,14,1,9,4
"E01006593",2011,"Liverpool 042E","Total",46,21,16,9,3,0,2,1,43,21,14,8
"E01006594",2011,"Liverpool 047D","Total",11,5,4,2,2,1,1,0,9,4,3,2
"E01006595",2011,"Liverpool 049B","Total",54,19,16,19,5,0,3,2,49,19,13,17
"E01006596",2011,"Liverpool 049C","Total",23,10,7,6,3,0,3,0,20,10,4,6
"E01006597",2011,"Liverpool 041E","Total",28,9,10,9,2,0,1,1,26,9,9,8
"E01006598",2011,"Liverpool 010A","Total",106,24,24,58,5,0,2,3,101,24,22,55
"E01006599",2011,"Liverpool 010B","Total",118,32,17,69,7,0,3,4,111,32,14,65
"E01006600",2011,"Liverpool 011A","Total",76,28,13,35,6,1,1,4,70,27,12,31
"E01006603",2011,"Liverpool 011B","Total",69,24,14,31,5,1,1,3,64,23,13,28
"E01006604",2011,"Liverpool 016A","Total",65,30,9,26,4,0,2,2,61,30,7,24
"E01006605",2011,"Liverpool 016B","Total",73,23,15,35,4,0,0,4,69,23,15,31
"E01006606",2011,"Liverpool 020A","Total",88,26,19,43,6,0,4,2,82,26,15,41
"E01006607",2011,"Liverpool 008A","Total",113,35,17,61,8,1,6,1,105,34,11,60
"E01006608",2011,"Liverpool 009A","Total",67,23,16,28,5,0,3,2,62,23,13,26
"E01006609",2011,"Liverpool 009B","Total",74,21,9,44,5,2,1,2,69,19,8,42
"E01006610",2011,"Liverpool 009C","Total",114,28,19,67,3,0,1,2,111,28,18,65
"E01006611",2011,"Liverpool 012A","Total",112,34,16,62,9,0,2,7,103,34,14,55
"E01006612",2011,"Liverpool 008B","Total",92,30,13,49,3,0,1,2,89,30,12,47
"E01006613",2011,"Liverpool 009D","Total",55,18,9,28,1,0,0,1,54,18,9,27
"E01006614",2011,"Liverpool 012B","Total",86,20,7,59,8,0,2,6,78,20,5,53
"E01006615",2011,"Liverpool 012C","Total",124,39,21,64,12,0,1,11,112,39,20,53
"E01006616",2011,"Liverpool 015D","Total",58,18,14,26,7,2,5,0,51,16,9,26
"E01006617",2011,"Liverpool 021A","Total",55,24,21,10,2,1,1,0,53,23,20,10
"E01006618",2011,"Liverpool 016C","Total",53,18,7,28,3,1,0,2,50,17,7,26
"E01006619",2011,"Liverpool 021B","Total",52,22,10,20,4,0,1,3,48,22,9,17
"E01006620",2011,"Liverpool 021C","Total",34,12,8,14,3,0,0,3,31,12,8,11
"E01006621",2011,"Liverpool 021D","Total",21,9,4,8,0,0,0,0,21,9,4,8
"E01006622",2011,"Liverpool 021E","Total",25,4,15,6,3,0,3,0,22,4,12,6
"E01006623",2011,"Liverpool 013A","Total",26,10,11,5,3,0,3,0,23,10,8,5
"E01006624",2011,"Liverpool 013B","Total",71,25,17,29,2,0,1,1,69,25,16,28
"E01006625",2011,"Liverpool 016D","Total",55,19,24,12,4,0,3,1,51,19,21,11
"E01006626",2011,"Liverpool 016E","Total",27,8,11,8,4,1,2,1,23,7,9,7
"E01006627",2011,"Liverpool 013C","Total",40,18,11,11,2,0,2,0,38,18,9,11
"E01006628",2011,"Liverpool 052D","Total",44,12,16,16,4,0,1,3,40,12,15,13
"E01006629",2011,"Liverpool 052E","Total",37,10,10,17,5,0,0,5,32,10,10,12
"E01006630",2011,"Liverpool 044B","Total",123,37,16,70,1,0,0,1,122,37,16,69
"E01006632",2011,"Liverpool 044C","Total",131,23,30,78,15,2,9,4,116,21,21,74
"E01006633",2011,"Liverpool 050B","Total",103,34,15,54,2,0,2,0,101,34,13,54
"E01006637",2011,"Liverpool 017A","Total",155,44,19,92,6,1,1,4,149,43,18,88
"E01006638",2011,"Liverpool 017B","Total",103,30,17,56,4,0,3,1,99,30,14,55
"E01006639",2011,"Liverpool 017C","Total",86,26,22,38,3,1,1,1,83,25,21,37
"E01006640",2011,"Liverpool 021F","Total",56,31,7,18,2,0,1,1,54,31,6,17
"E01006641",2011,"Liverpool 025C","Total",73,29,22,22,2,0,1,1,71,29,21,21
"E01006642",2011,"Liverpool 025D","Total",105,33,19,53,3,0,2,1,102,33,17,52
"E01006643",2011,"Liverpool 025E","Total",141,45,26,70,4,0,1,3,137,45,25,67
"E01006644",2011,"Liverpool 017D","Total",119,41,24,54,11,2,3,6,108,39,21,48
"E01006645",2011,"Liverpool 017E","Total",115,34,11,70,9,2,0,7,106,32,11,63
"E01006646",2011,"Liverpool 023C","Total",100,34,12,54,14,3,2,9,86,31,10,45
"E01006647",2011,"Liverpool 024C","Total",136,32,11,93,5,0,0,5,131,32,11,88
"E01006648",2011,"Liverpool 023D","Total",105,32,14,59,6,0,2,4,99,32,12,55
"E01006651",2011,"Liverpool 001A","Total",60,26,20,14,5,0,5,0,55,26,15,14
"E01006652",2011,"Liverpool 002A","Total",71,30,15,26,6,3,3,0,65,27,12,26
"E01006653",2011,"Liverpool 001B","Total",71,19,15,37,2,0,0,2,69,19,15,35
"E01006654",2011,"Liverpool 005A","Total",60,17,21,22,7,3,3,1,53,14,18,21
"E01006655",2011,"Liverpool 001C","Total",74,31,21,22,4,2,1,1,70,29,20,21
"E01006656",2011,"Liverpool 002B","Total",80,24,23,33,3,0,2,1,77,24,21,32
"E01006657",2011,"Liverpool 002C","Total",70,19,15,36,2,1,1,0,68,18,14,36
"E01006658",2011,"Liverpool 001D","Total",95,46,13,36,3,2,1,0,92,44,12,36
"E01006659",2011,"Liverpool 005B","Total",69,20,12,37,9,0,3,6,60,20,9,31
"E01006660",2011,"Liverpool 001E","Total",57,21,11,25,6,0,2,4,51,21,9,21
"E01006661",2011,"Liverpool 004A","Total",99,31,15,53,1,0,1,0,98,31,14,53
"E01006662",2011,"Liverpool 004B","Total",87,31,12,44,5,1,1,3,82,30,11,41
"E01006663",2011,"Liverpool 004C","Total",66,28,13,25,1,0,1,0,65,28,12,25
"E01006664",2011,"Liverpool 004D","Total",123,34,23,66,15,0,5,10,108,34,18,56
"E01006665",2011,"Liverpool 007A","Total",61,32,15,14,4,1,3,0,57,31,12,14
"E01006666",2011,"Liverpool 007B","Total",44,19,17,8,4,0,2,2,40,19,15,6
"E01006667",2011,"Liverpool 007C","Total",69,25,17,27,2,0,2,0,67,25,15,27
