"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All lone parent housholds with dependent children; measures: Value","Family Type: Lone parent in part-time employment: Total; measures: Value","Family Type: Lone parent in full-time employment: Total; measures: Value","Family Type: Lone parent not in employment: Total; measures: Value","Family Type: Male lone parent: Total; measures: Value","Family Type: Male lone parent: In part-time employment; measures: Value","Family Type: Male lone parent: In full-time employment; measures: Value","Family Type: Male lone parent: Not in employment; measures: Value","Family Type: Female lone parent: Total; measures: Value","Family Type: Female lone parent: In part-time employment; measures: Value","Family Type: Female lone parent: In full-time employment; measures: Value","Family Type: Female lone parent: Not in employment; measures: Value"
"E01006668",2011,"Liverpool 007D","Total",63,31,16,16,7,1,4,2,56,30,12,14
"E01006669",2011,"Liverpool 004E","Total",47,18,17,12,3,0,1,2,44,18,16,10
"E01006670",2011,"Liverpool 007E","Total",71,27,23,21,11,2,4,5,60,25,19,16
"E01006671",2011,"Liverpool 013D","Total",53,16,12,25,6,1,4,1,47,15,8,24
"E01006672",2011,"Liverpool 010E","Total",138,33,20,85,8,1,1,6,130,32,19,79
"E01006673",2011,"Liverpool 037D","Total",127,26,20,81,10,2,1,7,117,24,19,74
"E01006674",2011,"Liverpool 039C","Total",116,23,13,80,10,0,0,10,106,23,13,70
"E01006675",2011,"Liverpool 043C","Total",46,14,8,24,6,1,0,5,40,13,8,19
"E01006676",2011,"Liverpool 044D","Total",147,39,25,83,19,4,1,14,128,35,24,69
"E01006677",2011,"Liverpool 043D","Total",97,34,6,57,12,9,0,3,85,25,6,54
"E01006678",2011,"Liverpool 044E","Total",119,36,13,70,22,5,0,17,97,31,13,53
"E01006679",2011,"Liverpool 039D","Total",144,26,12,106,15,2,0,13,129,24,12,93
"E01006680",2011,"Liverpool 053B","Total",34,17,12,5,2,0,2,0,32,17,10,5
"E01006681",2011,"Liverpool 054D","Total",51,18,10,23,5,0,1,4,46,18,9,19
"E01006682",2011,"Liverpool 053C","Total",23,8,11,4,1,0,1,0,22,8,10,4
"E01006683",2011,"Liverpool 053D","Total",21,11,8,2,2,0,2,0,19,11,6,2
"E01006684",2011,"Liverpool 056B","Total",65,20,29,16,12,6,6,0,53,14,23,16
"E01006685",2011,"Liverpool 056C","Total",26,4,12,10,8,1,4,3,18,3,8,7
"E01006686",2011,"Liverpool 053E","Total",23,9,9,5,0,0,0,0,23,9,9,5
"E01006687",2011,"Liverpool 056D","Total",38,13,13,12,4,0,3,1,34,13,10,11
"E01006688",2011,"Liverpool 056E","Total",37,16,10,11,1,0,0,1,36,16,10,10
"E01006689",2011,"Liverpool 049D","Total",35,15,13,7,1,0,1,0,34,15,12,7
"E01006690",2011,"Liverpool 028A","Total",81,24,16,41,4,0,2,2,77,24,14,39
"E01006691",2011,"Liverpool 030A","Total",95,16,15,64,9,0,5,4,86,16,10,60
"E01006692",2011,"Liverpool 028B","Total",110,27,23,60,16,1,9,6,94,26,14,54
"E01006693",2011,"Liverpool 024D","Total",48,15,10,23,2,0,1,1,46,15,9,22
"E01006694",2011,"Liverpool 030B","Total",134,28,29,77,8,1,5,2,126,27,24,75
"E01006695",2011,"Liverpool 028C","Total",82,14,13,55,9,0,1,8,73,14,12,47
"E01006696",2011,"Liverpool 030C","Total",100,23,16,61,8,0,2,6,92,23,14,55
"E01006697",2011,"Liverpool 030D","Total",113,15,17,81,6,0,3,3,107,15,14,78
"E01006698",2011,"Liverpool 012D","Total",123,33,24,66,5,2,1,2,118,31,23,64
"E01006699",2011,"Liverpool 014A","Total",142,43,23,76,6,0,1,5,136,43,22,71
"E01006700",2011,"Liverpool 012E","Total",87,22,13,52,10,1,3,6,77,21,10,46
"E01006701",2011,"Liverpool 014B","Total",74,28,11,35,4,1,1,2,70,27,10,33
"E01006702",2011,"Liverpool 014C","Total",130,39,14,77,12,4,1,7,118,35,13,70
"E01006703",2011,"Liverpool 014D","Total",83,21,19,43,6,1,1,4,77,20,18,39
"E01006705",2011,"Liverpool 009E","Total",91,31,13,47,8,2,3,3,83,29,10,44
"E01006706",2011,"Liverpool 045A","Total",97,33,13,51,12,4,1,7,85,29,12,44
"E01006707",2011,"Liverpool 045B","Total",86,25,14,47,5,1,1,3,81,24,13,44
"E01006708",2011,"Liverpool 045C","Total",82,30,11,41,3,0,0,3,79,30,11,38
"E01006709",2011,"Liverpool 040A","Total",65,18,19,28,8,0,3,5,57,18,16,23
"E01006710",2011,"Liverpool 045D","Total",101,35,25,41,8,1,4,3,93,34,21,38
"E01006711",2011,"Liverpool 027A","Total",88,33,12,43,6,2,1,3,82,31,11,40
"E01006712",2011,"Liverpool 029D","Total",70,26,11,33,7,1,4,2,63,25,7,31
"E01006713",2011,"Liverpool 029E","Total",67,26,21,20,5,1,3,1,62,25,18,19
"E01006716",2011,"Liverpool 032E","Total",115,41,23,51,15,1,7,7,100,40,16,44
"E01006717",2011,"Liverpool 027D","Total",57,21,18,18,4,1,2,1,53,20,16,17
"E01006718",2011,"Liverpool 027E","Total",59,19,18,22,3,0,3,0,56,19,15,22
"E01006719",2011,"Liverpool 027F","Total",83,27,14,42,3,1,1,1,80,26,13,41
"E01006720",2011,"Liverpool 035A","Total",115,23,15,77,13,5,1,7,102,18,14,70
"E01006721",2011,"Liverpool 038C","Total",140,43,17,80,10,7,1,2,130,36,16,78
"E01006722",2011,"Liverpool 038D","Total",45,17,8,20,4,0,1,3,41,17,7,17
"E01006723",2011,"Liverpool 038E","Total",44,14,8,22,7,2,2,3,37,12,6,19
"E01006724",2011,"Liverpool 038F","Total",24,7,6,11,4,1,2,1,20,6,4,10
"E01006725",2011,"Liverpool 035B","Total",82,23,16,43,11,6,2,3,71,17,14,40
"E01006726",2011,"Liverpool 035C","Total",77,19,12,46,10,2,3,5,67,17,9,41
"E01006727",2011,"Liverpool 035D","Total",68,27,18,23,11,7,2,2,57,20,16,21
"E01006728",2011,"Liverpool 035E","Total",128,41,11,76,3,0,2,1,125,41,9,75
"E01006729",2011,"Liverpool 008C","Total",130,49,20,61,8,1,4,3,122,48,16,58
"E01006730",2011,"Liverpool 011C","Total",88,31,14,43,6,1,2,3,82,30,12,40
"E01006731",2011,"Liverpool 011D","Total",70,15,7,48,5,0,0,5,65,15,7,43
"E01006732",2011,"Liverpool 011E","Total",150,47,20,83,3,0,1,2,147,47,19,81
"E01006734",2011,"Liverpool 005C","Total",151,47,17,87,18,6,3,9,133,41,14,78
"E01006735",2011,"Liverpool 005D","Total",93,30,11,52,7,0,4,3,86,30,7,49
"E01006736",2011,"Liverpool 005E","Total",95,26,15,54,3,0,2,1,92,26,13,53
"E01006737",2011,"Liverpool 005F","Total",87,25,16,46,3,0,1,2,84,25,15,44
"E01006738",2011,"Liverpool 058A","Total",111,34,12,65,3,0,0,3,108,34,12,62
"E01006739",2011,"Liverpool 058B","Total",128,39,17,72,8,1,1,6,120,38,16,66
"E01006740",2011,"Liverpool 057A","Total",94,29,5,60,8,1,2,5,86,28,3,55
"E01006741",2011,"Liverpool 058C","Total",106,34,15,57,8,1,2,5,98,33,13,52
"E01006742",2011,"Liverpool 057B","Total",51,19,10,22,3,0,1,2,48,19,9,20
"E01006743",2011,"Liverpool 058D","Total",125,38,32,55,11,3,3,5,114,35,29,50
"E01006744",2011,"Liverpool 057C","Total",87,31,19,37,1,0,1,0,86,31,18,37
"E01006745",2011,"Liverpool 057D","Total",132,49,15,68,12,3,1,8,120,46,14,60
"E01006746",2011,"Liverpool 030E","Total",68,17,7,44,3,2,0,1,65,15,7,43
"E01006747",2011,"Liverpool 031B","Total",38,14,3,21,3,0,2,1,35,14,1,20
"E01006748",2011,"Liverpool 031C","Total",61,26,11,24,2,0,0,2,59,26,11,22
"E01006751",2011,"Liverpool 031F","Total",112,36,10,66,11,0,4,7,101,36,6,59
"E01006752",2011,"Liverpool 035F","Total",50,12,8,30,9,1,1,7,41,11,7,23
"E01006753",2011,"Liverpool 059A","Total",126,33,19,74,7,2,3,2,119,31,16,72
"E01006754",2011,"Liverpool 059B","Total",121,38,14,69,11,0,1,10,110,38,13,59
"E01006755",2011,"Liverpool 059C","Total",140,33,13,94,9,2,2,5,131,31,11,89
"E01006756",2011,"Liverpool 059D","Total",170,52,27,91,16,7,3,6,154,45,24,85
"E01006757",2011,"Liverpool 059E","Total",119,37,11,71,10,4,2,4,109,33,9,67
"E01006758",2011,"Liverpool 059F","Total",124,33,21,70,10,1,5,4,114,32,16,66
"E01006759",2011,"Liverpool 028D","Total",51,18,14,19,9,3,1,5,42,15,13,14
"E01006760",2011,"Liverpool 028E","Total",50,14,12,24,12,0,1,11,38,14,11,13
"E01006761",2011,"Liverpool 020B","Total",85,34,16,35,5,3,1,1,80,31,15,34
"E01006762",2011,"Liverpool 015E","Total",107,34,19,54,10,3,5,2,97,31,14,52
"E01006763",2011,"Liverpool 020C","Total",97,36,14,47,8,2,2,4,89,34,12,43
"E01006764",2011,"Liverpool 020D","Total",88,25,16,47,5,2,3,0,83,23,13,47
"E01006765",2011,"Liverpool 020E","Total",90,24,26,40,6,1,3,2,84,23,23,38
"E01006766",2011,"Liverpool 019E","Total",99,38,14,47,15,5,2,8,84,33,12,39
"E01006767",2011,"Liverpool 019F","Total",112,39,22,51,5,0,2,3,107,39,20,48
"E01006768",2011,"Liverpool 020F","Total",37,9,13,15,6,2,3,1,31,7,10,14
"E01006769",2011,"Liverpool 040B","Total",76,18,21,37,9,0,6,3,67,18,15,34
"E01006770",2011,"Liverpool 040C","Total",61,23,13,25,4,0,3,1,57,23,10,24
"E01006771",2011,"Liverpool 040D","Total",99,38,10,51,1,0,0,1,98,38,10,50
"E01006772",2011,"Liverpool 040E","Total",41,18,11,12,5,2,3,0,36,16,8,12
"E01006773",2011,"Liverpool 036D","Total",39,17,17,5,6,0,4,2,33,17,13,3
"E01006774",2011,"Liverpool 036E","Total",37,13,10,14,2,0,1,1,35,13,9,13
"E01006775",2011,"Liverpool 040F","Total",68,26,9,33,4,0,0,4,64,26,9,29
"E01006776",2011,"Liverpool 022B","Total",83,32,15,36,4,2,0,2,79,30,15,34
"E01006778",2011,"Liverpool 014E","Total",160,53,22,85,8,1,2,5,152,52,20,80
"E01006779",2011,"Liverpool 022D","Total",168,42,21,105,10,0,0,10,158,42,21,95
"E01006780",2011,"Liverpool 002D","Total",61,18,21,22,8,0,5,3,53,18,16,19
"E01006781",2011,"Liverpool 003A","Total",44,23,11,10,2,1,0,1,42,22,11,9
"E01006782",2011,"Liverpool 003B","Total",75,23,33,19,3,0,3,0,72,23,30,19
"E01006783",2011,"Liverpool 002E","Total",83,28,21,34,4,1,2,1,79,27,19,33
"E01006784",2011,"Liverpool 003C","Total",49,22,10,17,4,1,3,0,45,21,7,17
"E01006785",2011,"Liverpool 003D","Total",86,19,26,41,13,0,7,6,73,19,19,35
"E01006786",2011,"Liverpool 003E","Total",55,21,18,16,2,0,2,0,53,21,16,16
"E01006787",2011,"Liverpool 006A","Total",72,22,18,32,16,2,5,9,56,20,13,23
"E01006788",2011,"Liverpool 006B","Total",98,29,24,45,10,2,3,5,88,27,21,40
"E01006790",2011,"Liverpool 006C","Total",148,57,18,73,4,0,2,2,144,57,16,71
"E01006791",2011,"Liverpool 006D","Total",91,31,14,46,5,0,2,3,86,31,12,43
"E01006792",2011,"Liverpool 046A","Total",19,7,9,3,4,1,3,0,15,6,6,3
"E01006793",2011,"Liverpool 051A","Total",56,19,9,28,3,0,0,3,53,19,9,25
"E01006794",2011,"Liverpool 046B","Total",42,13,13,16,3,1,1,1,39,12,12,15
"E01006795",2011,"Liverpool 051B","Total",27,9,12,6,4,0,3,1,23,9,9,5
"E01006796",2011,"Liverpool 047E","Total",9,4,2,3,3,0,2,1,6,4,0,2
"E01006797",2011,"Liverpool 051C","Total",64,15,15,34,8,1,2,5,56,14,13,29
"E01006798",2011,"Liverpool 051D","Total",28,6,11,11,2,0,2,0,26,6,9,11
"E01006799",2011,"Liverpool 051E","Total",46,21,7,18,6,0,3,3,40,21,4,15
"E01006800",2011,"Liverpool 046C","Total",20,7,9,4,5,1,4,0,15,6,5,4
"E01006801",2011,"Liverpool 046D","Total",17,6,7,4,2,0,1,1,15,6,6,3
"E01032505",2011,"Liverpool 050F","Total",57,18,16,23,1,0,1,0,56,18,15,23
"E01032506",2011,"Liverpool 050G","Total",56,17,11,28,5,0,2,3,51,17,9,25
"E01032507",2011,"Liverpool 050H","Total",48,10,16,22,2,2,0,0,46,8,16,22
"E01032508",2011,"Liverpool 027G","Total",105,21,21,63,10,1,5,4,95,20,16,59
"E01032509",2011,"Liverpool 027H","Total",106,36,15,55,8,0,1,7,98,36,14,48
"E01032510",2011,"Liverpool 008F","Total",76,33,17,26,1,0,0,1,75,33,17,25
"E01032511",2011,"Liverpool 008G","Total",71,15,13,43,7,0,4,3,64,15,9,40
"E01033747",2011,"Liverpool 018F","Total",72,15,9,48,3,1,0,2,69,14,9,46
"E01033748",2011,"Liverpool 050I","Total",31,6,7,18,2,1,0,1,29,5,7,17
"E01033749",2011,"Liverpool 042F","Total",11,3,2,6,1,1,0,0,10,2,2,6
"E01033750",2011,"Liverpool 061A","Total",17,6,6,5,4,1,1,2,13,5,5,3
"E01033751",2011,"Liverpool 062A","Total",37,11,4,22,3,0,1,2,34,11,3,20
"E01033752",2011,"Liverpool 062B","Total",3,3,0,0,0,0,0,0,3,3,0,0
"E01033753",2011,"Liverpool 062C","Total",2,1,1,0,1,1,0,0,1,0,1,0
"E01033754",2011,"Liverpool 061B","Total",27,10,4,13,3,1,1,1,24,9,3,12
"E01033755",2011,"Liverpool 062D","Total",5,2,2,1,0,0,0,0,5,2,2,1
"E01033756",2011,"Liverpool 061C","Total",6,2,1,3,1,0,1,0,5,2,0,3
"E01033757",2011,"Liverpool 037E","Total",21,7,7,7,2,0,1,1,19,7,6,6
"E01033758",2011,"Liverpool 060B","Total",17,8,4,5,0,0,0,0,17,8,4,5
"E01033759",2011,"Liverpool 010F","Total",77,20,16,41,5,0,3,2,72,20,13,39
"E01033760",2011,"Liverpool 060C","Total",9,3,3,3,3,2,1,0,6,1,2,3
"E01033761",2011,"Liverpool 060D","Total",8,4,2,2,1,0,0,1,7,4,2,1
"E01033762",2011,"Liverpool 060E","Total",5,4,0,1,0,0,0,0,5,4,0,1
"E01033763",2011,"Liverpool 031G","Total",45,10,6,29,2,0,0,2,43,10,6,27
"E01033764",2011,"Liverpool 022E","Total",138,37,18,83,15,3,2,10,123,34,16,73
"E01033765",2011,"Liverpool 061D","Total",94,28,10,56,5,0,3,2,89,28,7,54
"E01033766",2011,"Liverpool 042G","Total",33,13,10,10,2,0,2,0,31,13,8,10
"E01033767",2011,"Liverpool 050J","Total",105,31,14,60,8,1,3,4,97,30,11,56
"E01033768",2011,"Liverpool 037F","Total",37,10,8,19,4,2,2,0,33,8,6,19
