"lsoa11cd","date","lsoa11nm","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",513,86,99,262,66,287,36,46,149,56,226,50,53,113,10
"E01006513",2011,"Liverpool 060A","Total",1052,354,189,410,99,538,149,78,246,65,514,205,111,164,34
"E01006514",2011,"Liverpool 037A","Total",926,237,188,409,92,503,105,79,254,65,423,132,109,155,27
"E01006515",2011,"Liverpool 037B","Total",482,49,99,284,50,247,23,28,161,35,235,26,71,123,15
"E01006518",2011,"Liverpool 044A","Total",562,40,165,318,39,283,17,58,181,27,279,23,107,137,12
"E01006519",2011,"Liverpool 056A","Total",643,58,124,384,77,314,20,31,212,51,329,38,93,172,26
"E01006520",2011,"Liverpool 043A","Total",1049,48,130,705,166,551,18,68,360,105,498,30,62,345,61
"E01006521",2011,"Liverpool 052A","Total",799,64,112,512,111,435,26,38,291,80,364,38,74,221,31
"E01006522",2011,"Liverpool 048A","Total",1027,65,97,699,166,573,35,46,377,115,454,30,51,322,51
"E01006523",2011,"Liverpool 052B","Total",812,51,132,507,122,413,26,61,247,79,399,25,71,260,43
"E01006524",2011,"Liverpool 048B","Total",767,175,112,372,108,412,84,40,209,79,355,91,72,163,29
"E01006525",2011,"Liverpool 049A","Total",638,60,121,386,71,339,26,27,233,53,299,34,94,153,18
"E01006526",2011,"Liverpool 048C","Total",698,56,128,428,86,348,25,39,230,54,350,31,89,198,32
"E01006527",2011,"Liverpool 053A","Total",658,67,127,388,76,316,25,34,202,55,342,42,93,186,21
"E01006528",2011,"Liverpool 052C","Total",760,72,126,452,110,395,21,44,252,78,365,51,82,200,32
"E01006529",2011,"Liverpool 048D","Total",709,54,114,456,85,349,14,31,250,54,360,40,83,206,31
"E01006530",2011,"Liverpool 055A","Total",648,63,128,386,71,325,17,31,228,49,323,46,97,158,22
"E01006531",2011,"Liverpool 055B","Total",570,39,114,359,58,296,13,28,207,48,274,26,86,152,10
"E01006532",2011,"Liverpool 047A","Total",729,78,129,382,140,399,25,39,233,102,330,53,90,149,38
"E01006533",2011,"Liverpool 055C","Total",581,52,136,326,67,310,21,41,193,55,271,31,95,133,12
"E01006534",2011,"Liverpool 054A","Total",709,58,161,413,77,363,23,54,231,55,346,35,107,182,22
"E01006535",2011,"Liverpool 054B","Total",739,64,155,442,78,348,27,37,231,53,391,37,118,211,25
"E01006536",2011,"Liverpool 054C","Total",775,74,187,464,50,356,21,48,250,37,419,53,139,214,13
"E01006537",2011,"Liverpool 055D","Total",1167,73,234,744,116,591,20,52,438,81,576,53,182,306,35
"E01006538",2011,"Liverpool 055E","Total",643,56,129,408,50,333,17,26,253,37,310,39,103,155,13
"E01006539",2011,"Liverpool 047B","Total",732,99,134,382,117,394,40,42,225,87,338,59,92,157,30
"E01006540",2011,"Liverpool 024A","Total",487,35,136,268,48,258,18,44,160,36,229,17,92,108,12
"E01006541",2011,"Liverpool 015A","Total",717,56,159,456,46,360,11,44,268,37,357,45,115,188,9
"E01006542",2011,"Liverpool 018A","Total",565,59,125,341,40,285,24,33,197,31,280,35,92,144,9
"E01006543",2011,"Liverpool 015B","Total",626,55,138,393,40,306,17,30,229,30,320,38,108,164,10
"E01006544",2011,"Liverpool 015C","Total",561,56,161,313,31,258,12,38,182,26,303,44,123,131,5
"E01006545",2011,"Liverpool 019A","Total",670,43,172,415,40,340,15,45,246,34,330,28,127,169,6
"E01006546",2011,"Liverpool 019B","Total",546,46,124,341,35,269,13,34,197,25,277,33,90,144,10
"E01006547",2011,"Liverpool 019C","Total",521,51,126,308,36,271,18,39,189,25,250,33,87,119,11
"E01006548",2011,"Liverpool 019D","Total",583,58,160,334,31,287,22,47,195,23,296,36,113,139,8
"E01006549",2011,"Liverpool 043B","Total",820,94,133,483,110,483,57,55,290,81,337,37,78,193,29
"E01006550",2011,"Liverpool 038A","Total",583,191,120,228,44,264,70,47,118,29,319,121,73,110,15
"E01006551",2011,"Liverpool 048E","Total",466,90,79,233,64,236,35,25,132,44,230,55,54,101,20
"E01006552",2011,"Liverpool 039A","Total",646,65,168,341,72,369,34,74,210,51,277,31,94,131,21
"E01006553",2011,"Liverpool 042A","Total",873,190,167,438,78,447,81,64,252,50,426,109,103,186,28
"E01006554",2011,"Liverpool 048F","Total",752,143,156,369,84,377,55,66,201,55,375,88,90,168,29
"E01006556",2011,"Liverpool 039B","Total",596,77,169,295,55,337,47,70,179,41,259,30,99,116,14
"E01006557",2011,"Liverpool 038B","Total",739,202,167,331,39,397,86,79,200,32,342,116,88,131,7
"E01006558",2011,"Liverpool 018B","Total",472,34,126,285,27,251,11,33,186,21,221,23,93,99,6
"E01006560",2011,"Liverpool 023A","Total",525,50,168,273,34,267,16,48,173,30,258,34,120,100,4
"E01006562",2011,"Liverpool 018E","Total",468,48,128,253,39,223,12,38,141,32,245,36,90,112,7
"E01006563",2011,"Liverpool 024B","Total",410,32,123,236,19,187,10,33,130,14,223,22,90,106,5
"E01006564",2011,"Liverpool 023B","Total",683,59,186,396,42,331,16,37,243,35,352,43,149,153,7
"E01006565",2011,"Liverpool 029A","Total",653,57,160,398,38,308,22,45,211,30,345,35,115,187,8
"E01006566",2011,"Liverpool 032A","Total",695,57,151,432,55,363,22,38,259,44,332,35,113,173,11
"E01006567",2011,"Liverpool 026A","Total",659,60,156,380,63,355,17,49,235,54,304,43,107,145,9
"E01006568",2011,"Liverpool 026B","Total",733,32,161,484,56,338,14,28,252,44,395,18,133,232,12
"E01006569",2011,"Liverpool 029B","Total",509,43,105,327,34,245,15,22,181,27,264,28,83,146,7
"E01006570",2011,"Liverpool 026C","Total",739,67,147,443,82,392,29,39,259,65,347,38,108,184,17
"E01006571",2011,"Liverpool 026D","Total",557,46,147,322,42,263,15,41,172,35,294,31,106,150,7
"E01006572",2011,"Liverpool 025A","Total",409,46,122,210,31,188,15,26,118,29,221,31,96,92,2
"E01006573",2011,"Liverpool 029C","Total",590,40,127,377,46,293,11,32,215,35,297,29,95,162,11
"E01006574",2011,"Liverpool 025B","Total",512,37,141,297,37,245,9,32,173,31,267,28,109,124,6
"E01006575",2011,"Liverpool 034A","Total",569,55,129,338,47,275,22,26,193,34,294,33,103,145,13
"E01006576",2011,"Liverpool 034B","Total",902,54,179,580,89,443,15,37,333,58,459,39,142,247,31
"E01006577",2011,"Liverpool 034C","Total",775,72,164,457,82,374,27,43,251,53,401,45,121,206,29
"E01006578",2011,"Liverpool 036A","Total",712,61,136,447,68,365,24,31,257,53,347,37,105,190,15
"E01006579",2011,"Liverpool 034D","Total",800,63,175,483,79,408,22,42,286,58,392,41,133,197,21
"E01006580",2011,"Liverpool 036B","Total",711,70,150,401,90,375,31,42,234,68,336,39,108,167,22
"E01006581",2011,"Liverpool 036C","Total",777,82,160,460,75,390,34,29,281,46,387,48,131,179,29
"E01006582",2011,"Liverpool 041A","Total",818,80,175,465,98,406,28,45,264,69,412,52,130,201,29
"E01006583",2011,"Liverpool 047C","Total",769,196,157,332,84,347,44,39,202,62,422,152,118,130,22
"E01006584",2011,"Liverpool 034E","Total",672,56,143,428,45,346,11,37,259,39,326,45,106,169,6
"E01006585",2011,"Liverpool 032B","Total",491,38,112,308,33,241,12,32,172,25,250,26,80,136,8
"E01006586",2011,"Liverpool 032C","Total",875,68,190,520,97,443,22,59,292,70,432,46,131,228,27
"E01006587",2011,"Liverpool 032D","Total",805,68,142,505,90,435,28,46,302,59,370,40,96,203,31
"E01006588",2011,"Liverpool 042C","Total",831,75,167,507,82,447,36,69,284,58,384,39,98,223,24
"E01006589",2011,"Liverpool 041B","Total",789,75,183,471,60,385,22,39,284,40,404,53,144,187,20
"E01006590",2011,"Liverpool 042D","Total",906,87,155,579,85,511,32,62,355,62,395,55,93,224,23
"E01006591",2011,"Liverpool 041C","Total",867,86,157,522,102,424,40,43,276,65,443,46,114,246,37
"E01006592",2011,"Liverpool 041D","Total",763,88,133,421,121,403,30,49,241,83,360,58,84,180,38
"E01006593",2011,"Liverpool 042E","Total",838,77,156,505,100,421,34,45,276,66,417,43,111,229,34
"E01006594",2011,"Liverpool 047D","Total",681,68,129,389,95,352,25,36,220,71,329,43,93,169,24
"E01006595",2011,"Liverpool 049B","Total",897,59,161,603,74,436,19,42,332,43,461,40,119,271,31
"E01006596",2011,"Liverpool 049C","Total",759,62,148,472,77,384,21,51,261,51,375,41,97,211,26
"E01006597",2011,"Liverpool 041E","Total",837,82,138,485,132,429,33,28,276,92,408,49,110,209,40
"E01006598",2011,"Liverpool 010A","Total",369,23,96,222,28,157,5,15,116,21,212,18,81,106,7
"E01006599",2011,"Liverpool 010B","Total",362,35,109,190,28,166,9,29,106,22,196,26,80,84,6
"E01006600",2011,"Liverpool 011A","Total",569,50,148,334,37,262,15,41,173,33,307,35,107,161,4
"E01006603",2011,"Liverpool 011B","Total",526,44,147,304,31,251,18,35,171,27,275,26,112,133,4
"E01006604",2011,"Liverpool 016A","Total",583,47,153,350,33,263,15,31,186,31,320,32,122,164,2
"E01006605",2011,"Liverpool 016B","Total",586,49,150,357,30,304,19,41,219,25,282,30,109,138,5
"E01006606",2011,"Liverpool 020A","Total",670,43,154,414,59,339,17,31,245,46,331,26,123,169,13
"E01006607",2011,"Liverpool 008A","Total",578,52,136,350,40,272,15,24,199,34,306,37,112,151,6
"E01006608",2011,"Liverpool 009A","Total",559,47,133,323,56,276,16,31,183,46,283,31,102,140,10
"E01006609",2011,"Liverpool 009B","Total",553,40,123,351,39,278,12,32,203,31,275,28,91,148,8
"E01006610",2011,"Liverpool 009C","Total",545,41,120,348,36,267,14,26,201,26,278,27,94,147,10
"E01006611",2011,"Liverpool 012A","Total",473,29,111,311,22,237,9,19,193,16,236,20,92,118,6
"E01006612",2011,"Liverpool 008B","Total",536,53,146,301,36,269,20,33,185,31,267,33,113,116,5
"E01006613",2011,"Liverpool 009D","Total",491,46,127,281,37,250,18,39,163,30,241,28,88,118,7
"E01006614",2011,"Liverpool 012B","Total",551,47,126,345,33,275,12,34,204,25,276,35,92,141,8
"E01006615",2011,"Liverpool 012C","Total",562,38,146,345,33,259,12,32,191,24,303,26,114,154,9
"E01006616",2011,"Liverpool 015D","Total",588,51,150,333,54,293,14,36,193,50,295,37,114,140,4
"E01006617",2011,"Liverpool 021A","Total",768,48,137,511,72,369,11,27,277,54,399,37,110,234,18
"E01006618",2011,"Liverpool 016C","Total",667,46,165,407,49,337,10,42,248,37,330,36,123,159,12
"E01006619",2011,"Liverpool 021B","Total",767,64,151,481,71,372,26,35,258,53,395,38,116,223,18
"E01006620",2011,"Liverpool 021C","Total",618,50,136,380,52,320,19,40,219,42,298,31,96,161,10
"E01006621",2011,"Liverpool 021D","Total",692,73,127,389,103,363,22,36,229,76,329,51,91,160,27
"E01006622",2011,"Liverpool 021E","Total",772,74,163,454,81,408,28,42,271,67,364,46,121,183,14
"E01006623",2011,"Liverpool 013A","Total",779,67,174,450,88,405,25,47,265,68,374,42,127,185,20
"E01006624",2011,"Liverpool 013B","Total",667,66,155,393,53,318,20,38,219,41,349,46,117,174,12
"E01006625",2011,"Liverpool 016D","Total",660,54,138,406,62,339,22,26,242,49,321,32,112,164,13
"E01006626",2011,"Liverpool 016E","Total",710,66,144,459,41,353,25,36,264,28,357,41,108,195,13
"E01006627",2011,"Liverpool 013C","Total",683,53,148,431,51,339,21,36,243,39,344,32,112,188,12
"E01006628",2011,"Liverpool 052D","Total",874,109,187,478,100,416,36,56,260,64,458,73,131,218,36
"E01006629",2011,"Liverpool 052E","Total",621,46,108,404,63,299,16,25,220,38,322,30,83,184,25
"E01006630",2011,"Liverpool 044B","Total",406,35,129,214,28,188,12,39,118,19,218,23,90,96,9
"E01006632",2011,"Liverpool 044C","Total",670,59,159,388,64,351,19,51,225,56,319,40,108,163,8
"E01006633",2011,"Liverpool 050B","Total",412,36,113,237,26,191,8,20,142,21,221,28,93,95,5
"E01006637",2011,"Liverpool 017A","Total",552,48,160,299,45,244,12,31,164,37,308,36,129,135,8
"E01006638",2011,"Liverpool 017B","Total",371,31,123,191,26,151,14,22,100,15,220,17,101,91,11
"E01006639",2011,"Liverpool 017C","Total",705,50,161,441,53,336,13,34,250,39,369,37,127,191,14
"E01006640",2011,"Liverpool 021F","Total",870,64,193,532,81,423,19,37,298,69,447,45,156,234,12
"E01006641",2011,"Liverpool 025C","Total",899,49,186,605,59,430,17,48,318,47,469,32,138,287,12
"E01006642",2011,"Liverpool 025D","Total",442,36,123,259,24,202,11,34,139,18,240,25,89,120,6
"E01006643",2011,"Liverpool 025E","Total",674,53,171,389,61,313,21,45,201,46,361,32,126,188,15
"E01006644",2011,"Liverpool 017D","Total",850,45,188,528,89,419,15,40,304,60,431,30,148,224,29
"E01006645",2011,"Liverpool 017E","Total",435,32,142,227,34,212,14,38,134,26,223,18,104,93,8
"E01006646",2011,"Liverpool 023C","Total",757,53,149,466,89,391,20,37,273,61,366,33,112,193,28
"E01006647",2011,"Liverpool 024C","Total",337,31,109,180,17,150,9,28,100,13,187,22,81,80,4
"E01006648",2011,"Liverpool 023D","Total",933,75,202,589,67,529,41,60,376,52,404,34,142,213,15
"E01006651",2011,"Liverpool 001A","Total",920,69,180,573,98,464,15,38,338,73,456,54,142,235,25
"E01006652",2011,"Liverpool 002A","Total",733,47,157,467,62,377,11,51,268,47,356,36,106,199,15
"E01006653",2011,"Liverpool 001B","Total",620,42,139,394,45,312,11,37,223,41,308,31,102,171,4
"E01006654",2011,"Liverpool 005A","Total",744,62,145,479,58,381,24,41,268,48,363,38,104,211,10
"E01006655",2011,"Liverpool 001C","Total",766,52,166,462,86,376,21,41,245,69,390,31,125,217,17
"E01006656",2011,"Liverpool 002B","Total",740,43,134,496,67,370,17,30,270,53,370,26,104,226,14
"E01006657",2011,"Liverpool 002C","Total",550,38,123,335,54,271,13,21,196,41,279,25,102,139,13
"E01006658",2011,"Liverpool 001D","Total",489,28,151,288,22,225,9,43,154,19,264,19,108,134,3
"E01006659",2011,"Liverpool 005B","Total",571,53,117,325,76,363,31,54,215,63,208,22,63,110,13
"E01006660",2011,"Liverpool 001E","Total",583,57,136,333,57,283,16,39,186,42,300,41,97,147,15
"E01006661",2011,"Liverpool 004A","Total",545,39,138,331,37,273,11,32,199,31,272,28,106,132,6
"E01006662",2011,"Liverpool 004B","Total",596,50,137,366,43,296,14,37,209,36,300,36,100,157,7
"E01006663",2011,"Liverpool 004C","Total",514,25,140,316,33,240,8,25,182,25,274,17,115,134,8
"E01006664",2011,"Liverpool 004D","Total",663,46,155,408,54,324,17,44,222,41,339,29,111,186,13
"E01006665",2011,"Liverpool 007A","Total",855,53,182,522,98,409,18,38,281,72,446,35,144,241,26
"E01006666",2011,"Liverpool 007B","Total",819,71,177,491,80,402,20,37,284,61,417,51,140,207,19
