n,city,pop,area,density
1,Greater London,"9,787,426","1,737.90","5,630"
2,Greater Manchester,"2,553,379",630.3,"4,051"
3,West Midlands,"2,440,986",598.9,"4,076"
4,West Yorkshire,"1,777,934",487.8,"3,645"
5,Greater Glasgow,"957,620",368.5,"3,390"
6,Liverpool,"864,122",199.6,"4,329"
7,South Hampshire,"855,569",192,"4,455"
8,Tyneside,"774,891",180.5,"4,292"
9,Nottingham,"729,977",176.4,"4,139"
10,Sheffield,"685,368",167.5,"4,092"
11,Bristol,"617,280",144.4,"4,274"
12,Belfast,"595,879",,
13,Leicester,"508,916",109.4,"4,653"
14,Edinburgh,"482,270",125,"4,172"
15,Brighton and Hove,"474,485",89.4,"5,304"
16,Bournemouth/ Poole,"466,266",131,"3,559"
17,Cardiff,"447,287",102.3,"4,370"
18,Teesside,"376,633",108.2,"3,482"
19,Stoke-on-Trent,"372,775",103.9,"3,588"
20,Coventry,"359,262",81.3,"4,420"
21,Sunderland,"335,415",83.5,"4,018"
22,Birkenhead,"325,264",88.2,"3,687"
23,Reading,"318,014",83.7,"3,800"
24,Kingston upon Hull,"314,018",82.6,"3,802"
25,Preston,"313,322",82.4,"3,802"
26,Newport,"306,844",84.2,"3,643"
27,Swansea,"300,352",87.6,"3,431"
28,Southend-on-Sea,"295,310",71.8,"4,111"
29,Derby,"270,468",64.1,"4,219"
30,Plymouth,"260,203",59.7,"4,356"
31,Luton,"258,018",50.7,"5,088"
32,Farnborough/ Aldershot,"252,397",78.5,"3,217"
33,Medway Towns,"243,931",52.2,"4,677"
34,Blackpool,"239,409",61.3,"3,908"
35,Milton Keynes,"229,941[6]",62.5,"3,678"
36,Barnsley/ Dearne Valley,"223,281",59.7,"3,739"
37,Northampton,"215,963",57.9,"3,731"
38,Norwich,"213,166",61.9,"3,444"
39,Aberdeen,"208,190",69.5,"3,050"
40,Swindon,"185,609",47.1,"3,945"
41,Crawley,"180,508",58.1,"3,107"
42,Ipswich,"178,835",49.1,"3,639"
43,Wigan,"175,405",43.8,"4,009"
44,Mansfield,"171,958",48.4,"3,556"
45,Oxford,"171,380",37.4,"4,585"
46,Warrington,"165,456",44.9,"3,686"
47,Slough,"163,777",34.1,"4,797"
48,Peterborough,"163,379",44.2,"3,693"
49,Cambridge,"158,434",42.1,"3,760"
50,Doncaster,"158,141",43.5,"3,634"
51,Dundee,"157,550",49.9,"3,180"
52,York,"153,717",34,"4,518"
53,Gloucester,"150,053",40.4,"3,718"
54,Burnley,"149,422",35.7,"4,183"
55,Telford,"147,980",47.7,"3,103"
56,Blackburn,"146,521",35.6,"4,115"
57,Basildon,"144,859",37.1,"3,902"
58,Grimsby,"134,160",35.3,"3,804"
59,Hastings,"133,422",33.2,"4,019"
60,High Wycombe,"133,204",39.2,"3,398"
61,Thanet,"125,370",27.9,"4,495"
62,Accrington/ Rossendale,"125,059",30,"4,168"
63,Motherwell,"124,540",45.1,"2,765"
64,Burton-upon-Trent,"122,199",35,"3,487"
65,Colchester,"121,859",32.7,"3,732"
66,Eastbourne,"118,219",25.1,"4,705"
67,Exeter,"117,763",28.5,"4,133"
68,Cheltenham,"116,447",28.9,"4,034"
69,Paignton/ Torquay,"115,410",31.5,"3,667"
70,Lincoln,"114,879",32.7,"3,518"
71,Chesterfield,"113,057",34.6,"3,263"
72,Chelmsford,"111,511",26.2,"4,259"
73,Basingstoke,"107,642",29.4,"3,662"
74,Maidstone,"107,627",25.4,"4,229"
75,Bedford,"106,940",24.8,"4,309"
76,Worcester,"101,659",24.7,"4,121"